startNodeID(int),endNodeID(int),channel_rate(Mbps),channel_delay(ms),disk_read_rate(MB/S),disk_write_rate(MB/S),disk_read_latency(ms),disk_wirte_latency(ms),diks_capacity(GB)
0,1,940,1,NULL,NULL,NULL,NULL,NULL
0,2,940,1,NULL,NULL,NULL,NULL,NULL
0,3,940,1,NULL,NULL,NULL,NULL,NULL
0,4,940,1,NULL,NULL,NULL,NULL,NULL
0,5,940,1,NULL,NULL,NULL,NULL,NULL
0,6,940,1,NULL,NULL,NULL,NULL,NULL
0,7,940,1,NULL,NULL,NULL,NULL,NULL
0,8,940,1,NULL,NULL,NULL,NULL,NULL
1,9,940,0.1,1611.11,288.89,1.12,3.40,372.6
1,10,940,0.1,1611.11,288.89,1.12,3.40,372.6
1,11,940,0.1,1611.11,288.89,1.12,3.40,372.6
2,12,940,0.1,1611.11,288.89,1.12,3.40,372.6
2,13,940,0.1,1611.11,288.89,1.12,3.40,372.6
3,14,940,0.1,1611.11,288.89,1.12,3.40,372.6
3,15,940,0.1,1611.11,288.89,1.12,3.40,372.6
4,16,940,0.1,1611.11,288.89,1.12,3.40,372.6
4,17,940,0.1,1611.11,288.89,1.12,3.40,372.6
5,18,940,0.1,322.22,166.67,14.11,46.89,223.1
6,19,940,0.1,322.22,166.67,14.11,46.89,557.9
7,20,940,0.1,322.22,166.67,14.11,46.89,223
7,21,940,0.1,322.22,166.67,14.11,46.89,223
8,22,940,0.1,322.22,166.67,14.11,46.89,1126.4
8,23,940,0.1,322.22,166.67,14.11,46.89,222.6
8,24,940,0.1,322.22,166.67,14.11,46.89,1126.4
